latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.72782,126.80354,302.71,1.62,1.25,2025-03-19,0518,Aqua,MODIS,53,6.1NRT,285.47,10.38,D
35.73859,126.80029,327.88,1.62,1.25,2025-03-19,0518,Aqua,MODIS,85,6.1NRT,286.83,53.32,D
36.13387,128.44243,314.07,1.29,1.13,2025-03-19,0518,Aqua,MODIS,74,6.1NRT,289.26,18.36,D
36.98258,126.69855,302.99,1.54,1.22,2025-03-19,0518,Aqua,MODIS,0,6.1NRT,288.85,10.39,D
37.29703,127.48312,300.21,1.37,1.16,2025-03-19,0518,Aqua,MODIS,32,6.1NRT,285.3,5.66,D
38.17385,127.22295,300.14,1.36,1.16,2025-03-19,0518,Aqua,MODIS,18,6.1NRT,282.43,9.05,D
36.98754,126.6983,309.33,1.01,1.01,2025-03-20,0122,Terra,MODIS,59,6.1NRT,287.61,8.79,D
36.98602,126.70935,305.17,1.01,1.01,2025-03-20,0122,Terra,MODIS,41,6.1NRT,290.12,6.22,D
35.95035,128.30904,300.67,1.02,1.01,2025-03-20,0122,Terra,MODIS,26,6.1NRT,286.01,3.71,D
35.95432,128.21326,302.11,1.02,1.01,2025-03-20,0122,Terra,MODIS,27,6.1NRT,286.11,5.72,D
35.84976,128.35965,303,1.03,1.01,2025-03-20,0122,Terra,MODIS,49,6.1NRT,285.1,6.25,D
35.5489,129.37784,310.56,1.1,1.05,2025-03-20,0122,Terra,MODIS,0,6.1NRT,290.46,11.39,D
35.58664,129.08614,300.01,1.07,1.03,2025-03-20,0122,Terra,MODIS,10,6.1NRT,287.93,4.64,D
35.6769,128.45576,300.83,1.03,1.02,2025-03-20,0122,Terra,MODIS,28,6.1NRT,286.99,4.42,D
35.11527,127.97231,352.62,1.53,1.22,2025-03-20,0559,Aqua,MODIS,97,6.1NRT,290.15,125.31,D
35.11357,127.9558,403.5,1.53,1.22,2025-03-20,0559,Aqua,MODIS,100,6.1NRT,299.44,509.01,D
35.12426,127.9539,300.95,1.53,1.22,2025-03-20,0559,Aqua,MODIS,24,6.1NRT,288.63,6.1,D
36.97387,126.6981,308.09,1.37,1.16,2025-03-20,0559,Aqua,MODIS,37,6.1NRT,294.67,9.23,D
36.98196,126.69682,307.85,1.2,1.09,2025-03-20,1223,Terra,MODIS,73,6.1NRT,281.17,16.05,N
36.98603,126.69904,302.85,2.63,1.56,2025-03-21,0202,Terra,MODIS,0,6.1NRT,289.39,16.21,D
35.44312,128.78418,301.62,3.92,1.84,2025-03-21,0202,Terra,MODIS,42,6.1NRT,289.69,33.8,D
