grid_id,road_dens_km_km2
4506660,0.062
4506661,0.159
4506662,0.246
4506663,0.415
4506664,0.779
4506665,0.389
4506666,0.856
4506667,2.454
4506668,6.587
4506669,3.593
4506670,0.572
4506671,0.499
4506672,0.503
4506673,0.396
4506674,1.072
4506675,0.411
4506676,0.67
4506677,1.054
4506678,0.784
4506679,0.806
4506680,1.714
4506681,1.493
4506682,0.598
4506683,0.452
4506684,0.978
4506685,1.643
4506686,1.731
4506687,2.635
4506688,3.944
4506689,4.894
4506690,8.254
4506691,4.756
4506692,0.902
4506693,0.0
4503058,0.0
4503059,0.0
4503060,0.025
4503061,0.207
4503062,0.371
4503063,0.522
4503064,1.194
4503065,0.756
4503066,1.095
4503067,2.081
4503068,2.284
4503069,1.549
4503070,0.732
4503071,0.681
4503072,0.601
4503073,0.62
4503074,0.717
4503075,0.465
4503076,0.567
4503077,1.225
4503078,1.287
4503079,0.97
4503080,0.97
4503081,0.896
4503082,0.852
4503083,0.714
4503084,0.643
4503085,0.421
4503086,0.772
4503087,1.49
4503088,1.544
4503089,2.501
4503090,2.935
4503091,1.136
4503092,0.823
4503093,0.0
4499458,0.0
4499459,0.0
4499460,0.067
4499461,0.171
4499462,0.061
4499463,0.312
4499464,0.727
4499465,0.529
4499466,0.903
4499467,1.064
4499468,0.664
4499469,0.552
4499470,0.383
4499471,0.32
4499472,0.309
4499473,0.55
4499474,1.222
4499475,2.631
4499476,1.908
4499477,1.912
4499478,1.127
4499479,0.37
4499480,0.685
4499481,0.432
4499482,0.582
4499483,0.862
4499484,0.546
4499485,1.064
4499486,1.852
4499487,0.972
4499488,0.031
4499489,0.0
4499510,0.0
4499511,0.0
4499512,0.0
4499517,0.0
4499518,0.0
4499519,0.003
4495850,0.0
4495851,0.0
4495852,0.0
4495854,0.0
4495855,0.0
4495858,0.0
4495859,0.048
4495860,0.154
4495861,0.177
4495862,0.122
4495863,0.984
4495864,1.571
4495865,0.583
4495866,0.44
4495867,0.348
4495868,0.325
